dates,state,confirmed,tested,deceased,recovered,vaccinated,population
2020-05-04,SK,0,170,0,0,0,664000
2020-05-05,SK,0,11,0,0,0,664000
2020-05-06,SK,0,8,0,0,0,664000
2020-05-07,SK,0,27,0,0,0,664000
2020-05-08,SK,0,0,0,0,0,664000
2020-05-09,SK,0,3,0,0,0,664000
2020-05-10,SK,0,0,0,0,0,664000
2020-05-11,SK,0,0,0,0,0,664000
2020-05-12,SK,0,129,0,0,0,664000
2020-05-13,SK,0,91,0,0,0,664000
2020-05-14,SK,0,140,0,0,0,664000
2020-05-15,SK,0,-231,0,0,0,664000
2020-05-16,SK,0,492,0,0,0,664000
2020-05-17,SK,0,107,0,0,0,664000
2020-05-18,SK,0,140,0,0,0,664000
2020-05-19,SK,0,117,0,0,0,664000
2020-05-20,SK,0,138,0,0,0,664000
2020-05-21,SK,0,0,0,0,0,664000
2020-05-22,SK,0,295,0,0,0,664000
2020-05-23,SK,1,70,0,0,0,664000
2020-05-24,SK,0,148,0,0,0,664000
2020-05-25,SK,0,248,0,0,0,664000
2020-05-26,SK,0,152,0,0,0,664000
2020-05-27,SK,0,162,0,0,0,664000
2020-05-28,SK,0,209,0,0,0,664000
2020-05-29,SK,0,133,0,0,0,664000
2020-05-30,SK,0,70,0,0,0,664000
2020-05-31,SK,0,96,0,0,0,664000
2020-06-01,SK,0,600,0,0,0,664000
2020-06-02,SK,0,263,0,0,0,664000
2020-06-03,SK,1,314,0,0,0,664000
2020-06-04,SK,0,256,0,0,0,664000
2020-06-05,SK,1,403,0,0,0,664000
2020-06-06,SK,4,244,0,0,0,664000
2020-06-07,SK,0,0,0,0,0,664000
2020-06-08,SK,0,542,0,0,0,664000
2020-06-09,SK,6,268,0,3,0,664000
2020-06-10,SK,0,346,0,0,0,664000
2020-06-11,SK,0,531,0,0,0,664000
2020-06-12,SK,50,-1535,0,0,0,664000
2020-06-13,SK,0,220,0,1,0,664000
2020-06-14,SK,5,287,0,0,0,664000
